Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
1121847,1178,144665,32,F,36,39339,4,5.929999948,0.0001016802664022,1.482499987,0.25,5.929999948,1
1122270,1178,144735,47,F,28,73222,16,22.86000025,0.0002185135614979,1.428750015625,0.0625,22.86000025,1
776825,936,115568,47,M,18,7410,1,1.210000038,0.0001349527665317,1.210000038,1.0,1.210000038,0
776318,936,115484,47,F,15,3569,0,0.0,0.0,0.0,0.0,0.0,1
1121286,1178,144571,32,M,66,10991,0,0.0,0.0,0.0,0.0,0.0,0
1314412,1178,179979,47,F,111,151531,28,40.28999949,0.0001847806719417,1.4389285532142857,0.0714285714285714,20.144999745,1
951270,936,123639,37,F,18,784,0,0.0,0.0,0.0,0.0,0.0,1
780700,936,116252,32,F,27,3745,0,0.0,0.0,0.0,0.0,0.0,1
734785,936,108750,32,F,10,5576,1,1.529999971,0.0001793400286944,1.529999971,1.0,1.529999971,1
734856,936,108762,32,F,27,5453,1,1.389999986,0.0001833852924995,1.389999986,1.0,1.389999986,1
1121481,1178,144604,42,M,22,153586,28,43.01000035,0.000182308283307,1.5360714410714285,0.0714285714285714,21.505000175,0
734852,936,108761,32,F,26,13479,3,4.25,0.0002225684397952,1.4166666666666667,0.3333333333333333,4.25,1
1314346,1178,179913,47,M,105,50406,5,7.26000011,9.91945403325001e-05,1.452000022,0.2,7.26000011,0
1314298,1178,179865,32,M,102,49699,2,2.690000057,4.024225839554116e-05,1.3450000285,1.0,1.3450000285,0
1121473,1178,144602,42,M,20,439986,80,134.8799999,0.0001818239671262,1.68599999875,0.05,33.719999975,0
1314351,1178,179918,47,M,110,188758,25,36.60000038,0.0001324447175748,1.4640000152,0.08,18.30000019,0
1122304,1178,144741,47,F,63,1111156,282,402.3000026,0.0002537897468942,1.4265957539007093,0.0177304964539007,80.46000052000001,1
950839,936,123567,32,M,24,246,0,0.0,0.0,0.0,0.0,0.0,0
