Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Total_Conversion,Ctr,Cpc,Conversion_Rate,Cpa
747879,936,110947,32,F,30,493,0,0.0,1,0.0,0.0,0.0,0.0
747903,936,110951,32,F,63,1491,0,0.0,1,0.0,0.0,0.0,0.0
747911,936,110952,32,F,64,1495,0,0.0,1,0.0,0.0,0.0,0.0
747968,936,110962,37,F,21,512,0,0.0,0,0.0,0.0,0.0,0.0
747991,936,110966,37,F,25,4868,2,2.420000076,1,0.0004108463434675431,1.210000038,0.5,2.420000076
748000,936,110967,37,F,26,6585,2,2.950000048,1,0.00030372057706909645,1.475000024,0.5,2.950000048
748007,936,110968,37,F,27,10164,2,3.720000029,1,0.0001967729240456513,1.8600000145,0.5,3.720000029
748014,936,110970,37,F,29,11182,4,4.449999809,1,0.0003577177606868181,1.11249995225,0.25,4.449999809
748045,936,110975,37,F,63,1238,0,0.0,1,0.0,0.0,0.0,0.0
748086,936,110982,42,F,16,34127,8,13.07000017,1,0.00023441849561930435,1.63375002125,0.125,13.07000017
748087,936,110982,42,F,16,29466,7,10.84999967,2,0.0002375619357904025,1.5499999528571429,0.2857142857142857,5.424999835
748089,936,110982,42,F,16,38759,9,10.84999967,1,0.00023220413323357157,1.205555518888889,0.1111111111111111,10.84999967
748091,936,110982,42,F,16,41720,10,12.06000006,1,0.00023969319271332693,1.206000006,0.1,12.06000006
748225,936,111005,47,F,15,18602,5,8.860000134,1,0.00026878830233308245,1.7720000268,0.2,8.860000134
748230,936,111006,47,F,16,83929,21,27.72999954,4,0.00025021148828176194,1.3204761685714286,0.19047619047619047,6.932499885
748231,936,111006,47,F,16,25194,6,7.349999905,1,0.00023815194093831864,1.2249999841666666,0.16666666666666666,7.349999905
748233,936,111006,47,F,16,78627,19,26.53000045,1,0.000241647271293576,1.3963158131578948,0.05263157894736842,26.53000045
748235,936,111006,47,F,16,102695,25,39.42999983,3,0.00024343931057987245,1.5771999932,0.12,13.143333276666667
748294,936,111016,47,F,27,82827,24,47.93000031,3,0.00028976058531638235,1.99708334625,0.125,15.97666677
748295,936,111016,47,F,27,9240,3,6.039999962,1,0.0003246753246753247,2.0133333206666664,0.3333333333333333,6.039999962
748303,936,111018,47,F,29,7706,2,2.369999886,1,0.0002595380223202699,1.184999943,0.5,2.369999886
748314,936,111020,47,F,31,7821,4,6.340000153,1,0.000511443549418233,1.58500003825,0.25,6.340000153
748341,936,111024,47,F,64,1363,0,0.0,1,0.0,0.0,0.0,0.0
776318,936,115484,47,F,15,3569,0,0.0,1,0.0,0.0,0.0,0.0
776322,936,115485,47,F,16,119063,34,53.21999949,1,0.0002855631052468021,1.5652941026470588,0.029411764705882353,53.21999949
776323,936,115485,47,F,16,99078,23,35.79999948,2,0.00023214033387835846,1.556521716521739,0.08695652173913043,17.89999974
776325,936,115485,47,F,16,452398,114,180.2200012,1,0.00025199050393679903,1.5808772035087721,0.008771929824561403,180.2200012
776334,936,115487,47,F,10,191223,48,76.41000056,1,0.00025101582968575954,1.5918750116666667,0.020833333333333332,76.41000056
776336,936,115487,47,F,10,22216,6,9.549999952,1,0.0002700756211739287,1.5916666586666668,0.16666666666666666,9.549999952
776338,936,115487,47,F,10,48291,11,18.01999998,1,0.00022778571576484232,1.6381818163636366,0.09090909090909091,18.01999998
776353,936,115490,42,F,63,27559,8,13.37,1,0.000290286294858304,1.67125,0.125,13.37
776373,936,115493,47,F,25,10194,4,4.590000033,2,0.00039238767902687857,1.14750000825,0.5,2.2950000165
776383,936,115495,47,F,23,1168,0,0.0,1,0.0,0.0,0.0,0.0
776405,936,115498,47,F,21,40126,16,25.86000001,1,0.0003987439565369087,1.616250000625,0.0625,25.86000001
776416,936,115500,47,F,19,3659,1,0.49000001,1,0.00027329871549603714,0.49000001,1.0,0.49000001
776430,936,115503,32,M,10,3200,0,0.0,1,0.0,0.0,0.0,0.0
776464,936,115508,47,F,29,7550,1,1.679999948,1,0.00013245033112582781,1.679999948,1.0,1.679999948
776469,936,115509,47,F,28,45397,15,25.41999936,1,0.0003304183095799282,1.694666624,0.06666666666666667,25.41999936
776473,936,115510,32,M,16,23086,2,3.310000062,1,8.663259118080222e-05,1.655000031,0.5,3.310000062
776475,936,115510,32,M,16,16425,1,1.549999952,1,6.0882800608828e-05,1.549999952,1.0,1.549999952
776476,936,115510,32,M,16,43756,5,5.439999938,0,0.00011427004296553616,1.0879999876,0.0,0.0
776477,936,115510,32,M,16,9982,0,0.0,1,0.0,0.0,0.0,0.0
776489,936,115512,47,F,26,175389,55,81.60999787,1,0.00031358865151178236,1.4838181430909092,0.01818181818181818,81.60999787
776494,936,115513,32,M,15,7015,0,0.0,1,0.0,0.0,0.0,0.0
776515,936,115517,47,F,65,12706,3,4.98999989,1,0.00023610892491736187,1.6633332966666667,0.3333333333333333,4.98999989
776519,936,115517,47,F,65,70702,20,31.7099998,1,0.00028287742920992336,1.58549999,0.05,31.7099998
776533,936,115520,47,F,63,63927,16,25.52000046,2,0.00025028548187776685,1.59500002875,0.125,12.76000023
776534,936,115520,47,F,63,15105,3,4.25999999,1,0.00019860973187686197,1.4199999966666665,0.3333333333333333,4.25999999
776538,936,115521,32,F,15,8774,1,1.830000043,1,0.00011397310234784591,1.830000043,1.0,1.830000043
776551,936,115523,32,F,16,14459,1,1.389999986,1,6.916107614634484e-05,1.389999986,1.0,1.389999986
776552,936,115523,32,F,16,21596,2,2.809999943,1,9.260974254491573e-05,1.4049999715,0.5,2.809999943
776553,936,115523,32,F,16,66765,8,11.04999971,1,0.00011982326069048154,1.38124996375,0.125,11.04999971
776563,936,115525,32,F,7,1369,0,0.0,1,0.0,0.0,0.0,0.0
776579,936,115527,32,F,10,26910,5,7.229999781,1,0.0001858045336306206,1.4459999562,0.2,7.229999781
776603,936,115531,32,F,2,506,0,0.0,1,0.0,0.0,0.0,0.0
776615,936,115533,47,M,63,11988,3,4.269999862,1,0.00025025025025025025,1.4233332873333333,0.3333333333333333,4.269999862
776623,936,115535,47,M,64,19353,6,9.4799999,1,0.0003100294527980158,1.5799999833333331,0.16666666666666666,9.4799999
776631,936,115536,42,M,29,10960,2,2.890000105,1,0.0001824817518248175,1.4450000525,0.5,2.890000105
776643,936,115538,32,M,15,33491,6,10.56999969,2,0.00017915260816338719,1.761666615,0.3333333333333333,5.284999845
776644,936,115538,32,M,15,20083,2,3.200000048,2,9.958671513220136e-05,1.600000024,1.0,1.600000024
776659,936,115541,32,M,16,8817,0,0.0,1,0.0,0.0,0.0,0.0
776661,936,115541,32,M,16,15466,1,0.970000029,1,6.46579593948015e-05,0.970000029,1.0,0.970000029
776662,936,115541,32,M,16,27072,3,4.370000005,1,0.00011081560283687943,1.4566666683333331,0.3333333333333333,4.370000005
776663,936,115541,32,M,16,15753,1,0.569999993,1,6.347997206881229e-05,0.569999993,1.0,0.569999993
776668,936,115542,42,M,19,3523,1,1.809999943,1,0.0002838489923360772,1.809999943,1.0,1.809999943
776685,936,115545,42,M,16,7745,0,0.0,1,0.0,0.0,0.0,0.0
776686,936,115545,42,M,16,18709,2,3.319999933,1,0.00010690042225666791,1.6599999665,0.5,3.319999933
776687,936,115545,42,M,16,8022,0,0.0,2,0.0,0.0,0.0,0.0
776696,936,115547,32,M,10,7966,1,1.179999948,1,0.00012553351744915893,1.179999948,1.0,1.179999948
776697,936,115547,32,M,10,4132,0,0.0,1,0.0,0.0,0.0,0.0
776698,936,115547,32,M,10,12785,3,4.730000019,2,0.00023464998044583498,1.576666673,0.6666666666666666,2.3650000095
776699,936,115547,32,M,10,8213,1,1.379999995,1,0.00012175818823815901,1.379999995,1.0,1.379999995
776722,936,115551,32,M,2,545,0,0.0,1,0.0,0.0,0.0,0.0
776725,936,115552,42,M,23,2479,1,1.25999999,1,0.0004033884630899556,1.25999999,1.0,1.25999999
776780,936,115561,42,M,2,3812,2,3.049999952,1,0.0005246589716684155,1.524999976,0.5,3.049999952
776793,936,115563,47,M,21,1609,0,0.0,1,0.0,0.0,0.0,0.0
776799,936,115564,47,M,20,10257,3,3.579999924,1,0.0002924831822170225,1.193333308,0.3333333333333333,3.579999924
776817,936,115567,42,M,10,12356,4,6.279999971,1,0.0003237293622531564,1.56999999275,0.25,6.279999971
776825,936,115568,47,M,18,7410,1,1.210000038,1,0.0001349527665317139,1.210000038,1.0,1.210000038
776829,936,115569,47,M,16,140098,28,46.63000011,1,0.000199860097931448,1.6653571467857142,0.03571428571428571,46.63000011
776831,936,115569,47,M,16,107021,20,34.44000012,1,0.00018687921062221434,1.722000006,0.05,34.44000012
776840,936,115571,37,M,36,2797,1,1.289999962,1,0.0003575259206292456,1.289999962,1.0,1.289999962
776861,936,115574,47,M,7,16461,6,9.21999979,1,0.00036449790413705123,1.5366666316666666,0.16666666666666666,9.21999979
776892,936,115580,42,M,63,17488,5,7.719999909,1,0.0002859103385178408,1.5439999818,0.2,7.719999909
776928,936,115586,37,M,10,9750,2,1.5,1,0.00020512820512820512,0.75,0.5,1.5
776935,936,115587,47,M,36,1136,0,0.0,1,0.0,0.0,0.0,0.0
777105,936,115615,47,M,63,4333,1,0.180000007,1,0.00023078698361412417,0.180000007,1.0,0.180000007
777130,936,115619,37,M,16,6260,0,0.0,1,0.0,0.0,0.0,0.0
